Model,HitRate@5,Precision@5,Recall@5,NDCG@5,AverageTrust@5,HighRiskExposureRate@5 (%),LowTrustExposureRate@5 (%),HitRate@10,Precision@10,Recall@10,NDCG@10,AverageTrust@10,HighRiskExposureRate@10 (%),LowTrustExposureRate@10 (%)
Popularity Baseline,0.17,0.034,0.17,0.10597339040325668,0.5595481706690887,9.139999999999999,9.139999999999999,0.284,0.0288,0.284,0.14266086173476114,0.5670476907094866,10.13,10.13
Purchase-Only Baseline,0.763,0.1554,0.763,0.482580837399204,0.6109042658854098,4.02,4.02,0.921,0.09370000000000002,0.921,0.5348594286428543,0.5930075864756142,7.180000000000001,7.180000000000001
Hard-Filter Safety Baseline,0.752,0.15319999999999998,0.752,0.4759132141626852,0.6311664179933278,0.0,0.0,0.906,0.09220000000000002,0.906,0.5268763405295499,0.6319726298694915,0.0,0.0
Trust-Aware (Proposed),0.822,0.16720000000000002,0.822,0.5684987697127366,0.6860031679264923,0.0,0.0,0.941,0.09559999999999999,0.941,0.6077958563883006,0.6991093533427253,0.0,0.0
