Beta,HitRate@10,Precision@10,Recall@10,NDCG@10,AverageTrust@10,HighRiskExposureRate@10 (%),LowTrustExposureRate@10 (%)
0.0,0.92,0.09350000000000003,0.92,0.5555176399331322,0.6613668554468578,0.06999999999999999,0.06999999999999999
0.5,0.941,0.09559999999999999,0.941,0.6081069797787068,0.6937554446739771,0.0,0.0
1.0,0.941,0.09559999999999999,0.941,0.6077958563883006,0.6991093533427253,0.0,0.0
1.5,0.938,0.09530000000000001,0.938,0.6061418598074558,0.7040563023902996,0.0,0.0
2.0,0.913,0.09280000000000001,0.913,0.5776987257023954,0.714737697844397,0.0,0.0
